locus,cluster,Condition,log2FoldChange,padj,Pathway,Protein,Process,Process.abbr,Gene.names
sll1692,1,slr1340,0.580114364823665,0.228837841407385,NA,hypothetical protein,Hypothetical,Hypoth,sll1692
sll1011,1,slr1340,0.589207692102764,0.177750088113506,NA,hypothetical protein,Hypothetical,Hypoth,sll1011
sll1852,1,slr1340,0.608941938066812,0.206904714161408,Interconversions and salvage of nucleosides and nucleotides,nucleoside diphosphate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,ndk ndkR sll1852
ssl1263,1,slr1340,0.611277162701956,0.032682495917107,NA,hypothetical protein,Hypothetical,Hypoth,ssl1263
sll1853,1,slr1340,0.620676992951084,0.157281772168468,NA,unknown protein,Unknown,Unknown,sll1853
slr0967,1,slr1340,0.621427301077713,0.24126760777315,NA,hypothetical protein,Hypothetical,Hypoth,slr0967
slr0081,1,slr1340,0.686041129900598,0.123560936233821,NA,two-component response regulator OmpR subfamily,Regulatory functions,Regul,slr0081
slr1884,1,slr1340,0.694459092720885,0.080636404579938,Aminoacyl tRNA synthetases and tRNA modification,tryptophanyl-tRNA synthetase,Translation,Translat,trpS slr1884
sll0493,1,slr1340,0.695441114812987,0.164746216652873,NA,hypothetical protein,Hypothetical,Hypoth,sll0493
slr0320,1,slr1340,0.702073532193153,0.057479682206892,NA,hypothetical protein,Hypothetical,Hypoth,slr0320
sll0944,1,slr1340,0.705700558931992,0.047965043954639,NA,hypothetical protein,Hypothetical,Hypoth,sll0944
sll0617,1,slr1340,0.706274723328209,0.026813915712662,"Membranes, lipoproteins, and porins",plasma membrane protein essential for thylakoid formation,Cell envelope,Envelope,sll0617
slr1322,1,slr1340,0.716595752341595,0.047965043954639,NA,putative modulator of DNA gyrase; TldD,"DNA replication, restriction, modification, recombination, and repair",DNArep,slr1322
sll1072,1,slr1340,0.724158795228636,0.032682495917107,NA,hypothetical protein,Hypothetical,Hypoth,sll1072
sll2012,1,slr1340,0.748251242342381,0.10571944484719,"RNA synthesis, modification, and DNA transcription",group2 RNA polymerase sigma factor SigD,Transcription,Transcript,sll2012
ssl2250,1,slr1340,0.77199093569876,0.023107276191652,Drug and analog sensitivity,bacterioferritin-associated ferredoxin,Other categories,Other,ssl2250
slr0947,1,slr1340,0.775375024729386,0.046734931472303,NA,response regulator for energy transfer from phycobilisomes to photosystems,Regulatory functions,Regul,slr0947
sll0185,1,slr1340,0.782406155592382,0.068675764803461,"RNA synthesis, modification, and DNA transcription","putative Rho-like protein, DNA-templated transcription, termination",Transcription,Transcript,sll0185
slr1254,1,slr1340,0.819156897939905,0.047965043954639,Carotenoid,phytoene dehydrogenase (phytoene desaturase),"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,pds crtD slr1254
sll0662,1,slr1340,0.821947920418517,0.00244219402234,"Thioredoxin, glutaredoxin, and glutathione","4Fe-4S type iron-sulfur protein, probable glutaredoxin","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,sll0662
ssr2016,1,slr1340,0.824630278248925,NA,NA,hypothetical protein,Hypothetical,Hypoth,ssr2016
sll0661,1,slr1340,0.855127326626095,0.023107276191652,NA,hypothetical protein YCF35,Hypothetical,Hypoth,sll0661
sll1071,1,slr1340,0.861533921687963,0.257415957973196,NA,hypothetical protein,Hypothetical,Hypoth,sll1071
sll1835,1,slr1340,0.872078900377432,0.055318308317665,"Membranes, lipoproteins, and porins","putative curli production assembly/transport component, periplasmic protein",Cell envelope,Envelope,sll1835
sll0141,1,slr1340,0.904366009004936,0.257415957973196,NA,hypothetical protein,Hypothetical,Hypoth,sll0141
slr1291,1,slr1340,0.934372051518402,0.041498095625005,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,ndhD2 slr1291
sll0689,1,slr1340,0.94691579219617406,0.018171871246441,NA,Na+/H+ antiporter,Transport and binding proteins,Transport,nhaS3 sll0689
sll1450,1,slr1340,0.967201982727662,0.046734931472303,NA,nitrate/nitrite transport system substrate-binding protein,Transport and binding proteins,Transport,nrtA sll1450
sll1691,1,slr1340,0.976380135965082,0.318482757619997,NA,hypothetical protein,Hypothetical,Hypoth,sll1691
slr0940,1,slr1340,1.00931614294932,0.05029223631324,Carotenoid,zeta-carotene desaturase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,crtQ slr0940
slr2007,1,slr1340,1.06565132415733,0.177384183919228,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,slr2007
sll0834,1,slr1340,1.06799782098084,0.040369161395938,NA,low affinity sulfate transporter,Transport and binding proteins,Transport,sll0834
sll1732,1,slr1340,1.11040877194372,0.042700646832233,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in low CO2-inducible, high affinity CO2 uptake)",Photosynthesis and respiration,Photosynth,sll1732
slr1919,1,slr1340,1.32141645645671,0.010139917554711,NA,putative protein kinase,Regulatory functions,Regul,slr1919
slr2006,1,slr1340,1.32147464868776,0.14240170592324,NA,hypothetical protein,Hypothetical,Hypoth,slr2006
slr1137,1,slr1916,-0.12869733569609,0.450293644488028,Respiratory terminal oxidases,cytochrome c oxidase subunit I,Photosynthesis and respiration,Photosynth,ctaD slr1137
sll1119,1,slr1916,-0.004667390016575,0.992145964187928,NA,hypothetical protein,Hypothetical,Hypoth,sll1119
slr1734,1,slr1916,5.86570933841e-4,0.998996373008281,Pentose phosphate pathway,glucose 6-phosphate dehydrogenase assembly protein,Energy metabolism,Energy,opcA slr1734
slr1440,1,slr1916,0.020921678561975,0.96233180300862,NA,hypothetical protein,Hypothetical,Hypoth,slr1440
slr6040,1,slr1916,0.093245261783112,0.667991838260241,NA,two-component response regulator,Regulatory functions,Regul,slr6040
slr0681,1,slr1916,0.095298440103366,0.773345564118333,NA,probable sodium/calcium exchanger protein,Transport and binding proteins,Transport,slr0681
slr6039,1,slr1916,0.107952746115425,0.694094756626174,NA,hypothetical protein,Hypothetical,Hypoth,slr6039
sll0789,1,slr1916,0.134492685604338,0.526887891452751,NA,two-component response regulator OmpR subfamily,Regulatory functions,Regul,sll0789
slr1136,1,slr1916,0.140594051237352,0.546019701045331,Respiratory terminal oxidases,cytochrome c oxidase subunit II,Photosynthesis and respiration,Photosynth,ctaC coxB slr1136
ssr2831,1,slr1916,0.198884786858753,0.33701245100231,Photosystem I,photosystem I subunit IV,Photosynthesis and respiration,Photosynth,psaE ssr2831
ssl2501,1,slr1916,0.259170023372717,0.317305432578956,NA,unknown protein,Unknown,Unknown,ssl2501
sll0944,1,slr1916,0.266522269329506,0.357740729574099,NA,hypothetical protein,Hypothetical,Hypoth,sll0944
sll1267,1,slr1916,0.332021995023244,0.010907177940482,NA,unknown protein,Unknown,Unknown,sll1267
slr0967,1,slr1916,0.386436985904031,0.33306652988573,NA,hypothetical protein,Hypothetical,Hypoth,slr0967
slr1811,1,slr1916,0.408015804417325,0.090386210532443,NA,hypothetical protein,Hypothetical,Hypoth,slr1811
sll0426,1,slr1916,0.414351171959447,0.113076193948761,NA,unknown protein,Unknown,Unknown,sll0426
sll0788,1,slr1916,0.418115322147353,0.078023667120057,NA,hypothetical protein,Hypothetical,Hypoth,sll0788
slr1993,1,slr1916,0.463846902126142,0.007161904011698,NA,PHA-specific beta-ketothiolase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,slr1993
slr2051,1,slr1916,0.465351446542052,3.9164994758359e-5,Phycobilisome,phycobilisome rod-core linker polypeptide,Photosynthesis and respiration,Photosynth,slr2051
slr0818,1,slr1916,0.50500670096648,0.133370374848143,NA,hypothetical protein,Hypothetical,Hypoth,slr0818
sll1891,1,slr1916,0.536765368504912,0.037610245961624,NA,unknown protein,Unknown,Unknown,sll1891
ssr2194,1,slr1916,0.548146991862037,0.613033524168535,NA,unknown protein,Unknown,Unknown,ssr2194
sll0645,1,slr1916,0.552963238756231,0.009323127618246,NA,unknown protein,Unknown,Unknown,sll0645
sll1774,1,slr1916,0.56297899448388,0.031466206029752,NA,hypothetical protein,Hypothetical,Hypoth,sll1774
slr0602,1,slr1916,0.569566392290004,0.058114057480111,NA,unknown protein,Unknown,Unknown,slr0602
sll1561,1,slr1916,0.58637907287741,2.37268000049e-4,Amino acids and amines,proline oxidase,Energy metabolism,Energy,sll1561
sll0749,1,slr1916,0.595985512104701,0.032295758766144,NA,hypothetical protein,Hypothetical,Hypoth,sll0749
sll1426,1,slr1916,0.603888475163125,0.016420365217656,NA,unknown protein,Unknown,Unknown,sll1426
slr1208,1,slr1916,0.608536413179467,0.001567788241767,Other,probable oxidoreductase,Other categories,Other,slr1208
slr1544,1,slr1916,0.629639921918634,0.049254793757637,NA,unknown protein,Unknown,Unknown,slr1544
sll1194,1,slr1916,0.632711928228255,3.85598927379741e-5,Photosystem II,photosystem II 12 kDa extrinsic protein,Photosynthesis and respiration,Photosynth,psbU sll1194
sll1390,1,slr1916,0.648981427881715,8.00602943363844e-6,NA,hypothetical protein,Hypothetical,Hypoth,sll1390
ssl2250,1,slr1916,0.685368486908199,0.002910962848511,Drug and analog sensitivity,bacterioferritin-associated ferredoxin,Other categories,Other,ssl2250
sll0858,1,slr1916,0.686399309115881,0.255382305525536,NA,hypothetical protein,Hypothetical,Hypoth,sll0858
sll1915,1,slr1916,0.706853594825241,5.99507374322827e-5,Drug and analog sensitivity,"putative glyoxalase, antibiotic resistance, or dioxygenase protein",Other categories,Other,sll1915
slr2070,1,slr1916,0.708635515709701,2.94345831778e-4,NA,hypothetical protein,Hypothetical,Hypoth,slr2070
slr1928,1,slr1916,0.73337087475485,0.011330361962695,NA,type 4 pilin-like protein,Unknown,Unknown,slr1928
sll0761,1,slr1916,0.739346888900369,1.07279090561e-4,NA,unknown protein,Unknown,Unknown,sll0761
sll1011,1,slr1916,0.748134687038589,0.013734692946389,NA,hypothetical protein,Hypothetical,Hypoth,sll1011
sll1682,1,slr1916,0.750300199673425,3.00613787429e-4,Amino acids and amines,alanine dehydrogenase,Energy metabolism,Energy,sll1682
slr0228,1,slr1916,0.760279363006088,9.17995654684648e-6,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH2 slr0228
slr0529,1,slr1916,0.760812173012178,3.04208751348336e-5,NA,glucosylglycerol transport system substrate-binding protein,Transport and binding proteins,Transport,slr0529
slr1604,1,slr1916,0.778212933689335,8.68850343884e-4,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH3 slr1604
sll1425,1,slr1916,0.79862446684518,2.74967999337218e-6,Aminoacyl tRNA synthetases and tRNA modification,proline-tRNA ligase,Translation,Translat,proS sll1425
ssl0294,1,slr1916,0.807755024399474,2.37325710726604e-10,NA,hypothetical protein,Hypothetical,Hypoth,ssl0294
slr0841,1,slr1916,0.808262360794028,1.68336007406461e-6,NA,"periplasmic protein, function unknown",Unknown,Unknown,slr0841
slr1704,1,slr1916,0.817003631853494,0.372579276366966,NA,hypothetical protein,Hypothetical,Hypoth,slr1704
slr1133,1,slr1916,0.829825183985937,1.46849430235541e-6,Glutamate family / Nitrogen assimilation,L-argininosuccinate lyase,Amino acid biosynthesis,AminoAcids,argH slr1133
sll1867,1,slr1916,0.870226855029321,2.12691417459773e-5,Photosystem II,photosystem II D1 protein,Photosynthesis and respiration,Photosynth,sll1867
ssl0832,1,slr1916,0.871017814645838,0.03451303302677,NA,hypothetical protein,Hypothetical,Hypoth,ssl0832
sll0157,1,slr1916,0.87252956974228,0.007485542528648,NA,hypothetical protein,Hypothetical,Hypoth,sll0157
sll0102,1,slr1916,0.887545745810296,6.88166170297608e-8,NA,hypothetical protein,Hypothetical,Hypoth,sll0102
sll1566,1,slr1916,0.907263909353355,5.94454260111144e-6,Polysaccharides and glycoproteins,glucosylglycerolphosphate synthase,Central intermediary metabolism,CentralMet,ggpS sll1566
slr0455,1,slr1916,0.920698528375884,4.01145695671647e-5,NA,hypothetical protein,Hypothetical,Hypoth,slr0455
slr0925,1,slr1916,0.931869540978447,2.29110403119541e-5,NA,single-stranded DNA-binding protein,"DNA replication, restriction, modification, recombination, and repair",DNArep,ssb slr0925
ssr2723,1,slr1916,0.939708883294837,4.77801777202335e-5,NA,hypothetical protein,Hypothetical,Hypoth,ssr2723
ssr2595,1,slr1916,0.940031055742482,0.006674875565239,Adaptations and atypical conditions,"high light-inducible polypeptide HliB, CAB/ELIP/HLIP superfamily",Other categories,Other,ssr2595
slr0927,1,slr1916,0.944307561767174,3.84434032302785e-12,Photosystem II,photosystem II reaction center D2 protein,Photosynthesis and respiration,Photosynth,slr0927
sll0759,1,slr1916,0.948264188295868,0.001060226026386,NA,ABC transporter ATP-binding protein,Transport and binding proteins,Transport,sll0759
ssl1263,1,slr1916,0.951520602229209,7.79378725580396e-7,NA,hypothetical protein,Hypothetical,Hypoth,ssl1263
slr1783,1,slr1916,0.952533666420861,1.36590365269924e-12,NA,two-component response regulator NarL subfamily,Regulatory functions,Regul,slr1783
slr2024,1,slr1916,0.968116864941922,1.20792489080426e-6,NA,two-component response regulator CheY subfamily,Regulatory functions,Regul,slr2024
slr0193,1,slr1916,0.974136001299281,4.37658241128436e-6,Nucleoproteins,RNA-binding protein,Translation,Translat,slr0193
sll2012,1,slr1916,0.978976944718704,0.002434668199867,"RNA synthesis, modification, and DNA transcription",group2 RNA polymerase sigma factor SigD,Transcription,Transcript,sll2012
sll0103,1,slr1916,1.00180449106371,4.57157085530676e-6,NA,hypothetical protein,Hypothetical,Hypoth,sll0103
sll1732,1,slr1916,1.00299089670489,0.009808978064217,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in low CO2-inducible, high affinity CO2 uptake)",Photosynthesis and respiration,Photosynth,sll1732
slr0838,1,slr1916,1.00445317465525,1.37351623445e-4,Purine ribonucleotide biosynthesis,phosphoribosyl formylglycinamidine cyclo-ligase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,purM slr0838
sll1316,1,slr1916,1.01022116465753,8.62050442589161e-11,Cytochrome b6/f complex,cytochrome b6-f complex iron-sulfur subunit (Rieske iron sulfur protein),Photosynthesis and respiration,Photosynth,petC2 sll1316
sll1483,1,slr1916,1.02054734104038,0.044094891401957,"Membranes, lipoproteins, and porins","periplasmic protein, similar to transforming growth factor induced protein",Cell envelope,Envelope,sll1483
sll0108,1,slr1916,1.03724037004907,1.05766493219375e-27,NA,ammonium/methylammonium permease,Transport and binding proteins,Transport,sll0108
slr0355,1,slr1916,1.03832514604986,6.37164753289312e-6,NA,hypothetical protein,Hypothetical,Hypoth,slr0355
sll1852,1,slr1916,1.04310934589658,0.001253052617001,Interconversions and salvage of nucleosides and nucleotides,nucleoside diphosphate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,ndk ndkR sll1852
slr1350,1,slr1916,1.04370064687946,2.79171202352994e-6,NA,acyl-lipid desaturase (delta 12),"Fatty acid, phospholipid and sterol metabolism",FattyAcids,desA slr1350
slr0320,1,slr1916,1.04539043364684,5.43029485853037e-5,NA,hypothetical protein,Hypothetical,Hypoth,slr0320
sll0550,1,slr1916,1.04857970520984,3.43782446281193e-9,Other,flavoprotein,Other categories,Other,dfa1 sll0550
slr0093,1,slr1916,1.05060509219767,1.05359579725e-4,Chaperones,"DnaJ protein, heat shock protein 40, molecular chaperone",Cellular processes,CellProc,slr0093
sll0330,1,slr1916,1.05390334764049,0.330860218668944,NA,sepiapterine reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,sll0330
ssl7039,1,slr1916,1.06038120022164,4.4153609925872e-7,NA,hypothetical protein,Hypothetical,Hypoth,ssl7039
slr0601,1,slr1916,1.06081677872579,2.96408034002188e-12,NA,unknown protein,Unknown,Unknown,slr0601
sll0529,1,slr1916,1.06433972149162,4.46215290641563e-7,Pentose phosphate pathway,"putative phospho-ketolase, transketolase",Energy metabolism,Energy,sll0529
slr1051,1,slr1916,1.06634847411882,2.62491817656225e-8,NA,enoyl-[acyl-carrier-protein] reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,fabI envM slr1051
slr1531,1,slr1916,1.06654900249378,3.97489457829072e-9,Protein and peptide secretion,signal recognition particle protein,Cellular processes,CellProc,ffh slr1531
sll0185,1,slr1916,1.07300609494326,3.25226595354e-4,"RNA synthesis, modification, and DNA transcription","putative Rho-like protein, DNA-templated transcription, termination",Transcription,Transcript,sll0185
slr1884,1,slr1916,1.08089297648616,6.38227756657225e-5,Aminoacyl tRNA synthetases and tRNA modification,tryptophanyl-tRNA synthetase,Translation,Translat,trpS slr1884
sll1853,1,slr1916,1.08697222787552,2.37268000049e-4,NA,unknown protein,Unknown,Unknown,sll1853
sll1541,1,slr1916,1.09777812893319,8.36264113886e-4,Carotenoid,"Apocarotenoid-15,15-oxygenase (ACO)","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,sll1541
sll0834,1,slr1916,1.11583113955322,0.002086470679076,NA,low affinity sulfate transporter,Transport and binding proteins,Transport,sll0834
slr2034,1,slr1916,1.13276613583025,1.88711766541527e-8,Photosystem II,"putative homolog of plant HCF136, which is essential for stability or assembly of photosystem II",Photosynthesis and respiration,Photosynth,slr2034
slr1105,1,slr1916,1.14119303868984,3.94263021674489e-6,Protein modification and translation factors,GTP-binding protein TypA/BipA homolog,Translation,Translat,typA slr1105
sll0493,1,slr1916,1.15413569003412,6.58008087828e-4,NA,hypothetical protein,Hypothetical,Hypoth,sll0493
sll0616,1,slr1916,1.1702505970428,5.05498761477501e-10,Protein and peptide secretion,preprotein translocase SecA subunit,Cellular processes,CellProc,secA sll0616
sll1450,1,slr1916,1.17296111127444,5.67760808898e-4,NA,nitrate/nitrite transport system substrate-binding protein,Transport and binding proteins,Transport,nrtA sll1450
sll1692,1,slr1916,1.1871664903457,1.75125377456e-4,NA,hypothetical protein,Hypothetical,Hypoth,sll1692
sll0662,1,slr1916,1.19494382958549,2.50773286423105e-10,"Thioredoxin, glutaredoxin, and glutathione","4Fe-4S type iron-sulfur protein, probable glutaredoxin","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,sll0662
sll0141,1,slr1916,1.2243600752413,0.026750322759079,NA,hypothetical protein,Hypothetical,Hypoth,sll0141
slr0947,1,slr1916,1.22848400179898,3.65637109999989e-6,NA,response regulator for energy transfer from phycobilisomes to photosystems,Regulatory functions,Regul,slr0947
sll0615,1,slr1916,1.2361621689788,5.26314407291817e-8,NA,hypothetical protein,Hypothetical,Hypoth,sll0615
ssr1853,1,slr1916,1.24423896206611,1.52004605857e-4,NA,unknown protein,Unknown,Unknown,ssr1853
slr1687,1,slr1916,1.24450970653352,0.001779569726612,NA,hypothetical protein,Hypothetical,Hypoth,slr1687
slr1322,1,slr1916,1.26867154761941,3.99478413711878e-7,NA,putative modulator of DNA gyrase; TldD,"DNA replication, restriction, modification, recombination, and repair",DNArep,slr1322
sll1835,1,slr1916,1.26869204944731,6.8343606500021e-5,"Membranes, lipoproteins, and porins","putative curli production assembly/transport component, periplasmic protein",Cell envelope,Envelope,sll1835
sll0689,1,slr1916,1.28236365385652,7.79378725580396e-7,NA,Na+/H+ antiporter,Transport and binding proteins,Transport,nhaS3 sll0689
sll1072,1,slr1916,1.29122921556776,1.15385936919614e-8,NA,hypothetical protein,Hypothetical,Hypoth,sll1072
sll0661,1,slr1916,1.32416840525506,4.5636626679868e-8,NA,hypothetical protein YCF35,Hypothetical,Hypoth,sll0661
slr0081,1,slr1916,1.38074908205767,3.92365748137098e-6,NA,two-component response regulator OmpR subfamily,Regulatory functions,Regul,slr0081
sll0909,1,slr1916,1.39104657716621,2.04570068711e-4,NA,unknown protein,Unknown,Unknown,sll0909
sll1796,1,slr1916,1.40454256954566,2.91497349469214e-18,Soluble electron carriers,cytochrome c553,Photosynthesis and respiration,Photosynth,petJ sll1796
slr1254,1,slr1916,1.41697447021426,7.79378725580396e-7,Carotenoid,phytoene dehydrogenase (phytoene desaturase),"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,pds crtD slr1254
ssl2542,1,slr1916,1.42318700194921,4.53818811705e-4,Adaptations and atypical conditions,"high light-inducible polypeptide HliA, CAB/ELIP/HLIP superfamily",Other categories,Other,ssl2542
ssl0511,1,slr1916,1.46488762573868,7.63101958699536e-7,NA,hypothetical protein,Hypothetical,Hypoth,ssl0511
ssr2153,1,slr1916,1.51700036636702,0.039041654251024,NA,unknown protein,Unknown,Unknown,ssr2153
sll0617,1,slr1916,1.52393351481358,5.05722214494065e-13,"Membranes, lipoproteins, and porins",plasma membrane protein essential for thylakoid formation,Cell envelope,Envelope,sll0617
slr2007,1,slr1916,1.6393578840029,0.002238940124135,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,slr2007
sll1071,1,slr1916,1.65050322468659,0.001207213307926,NA,hypothetical protein,Hypothetical,Hypoth,sll1071
sll1691,1,slr1916,1.67962537553853,0.01202131251022,NA,hypothetical protein,Hypothetical,Hypoth,sll1691
slr1291,1,slr1916,1.68489105886505,5.29080914664824e-8,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,ndhD2 slr1291
ssr2016,1,slr1916,1.76095622551108,0.004416748563802,NA,hypothetical protein,Hypothetical,Hypoth,ssr2016
slr0940,1,slr1916,1.76547893680379,8.27392715617679e-7,Carotenoid,zeta-carotene desaturase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,crtQ slr0940
slr5037,1,slr1916,1.94271812578735,6.57326788777822e-7,NA,hypothetical protein,Hypothetical,Hypoth,slr5037
slr1919,1,slr1916,1.99062094588388,4.97519187450145e-9,NA,putative protein kinase,Regulatory functions,Regul,slr1919
slr2006,1,slr1916,2.17418043213078,3.79187178499e-4,NA,hypothetical protein,Hypothetical,Hypoth,slr2006
slr1350,1,ssl2982,0.309050657570806,0.191876232296317,NA,acyl-lipid desaturase (delta 12),"Fatty acid, phospholipid and sterol metabolism",FattyAcids,desA slr1350
slr0355,1,ssl2982,0.491333767516257,0.03735260917129,NA,hypothetical protein,Hypothetical,Hypoth,slr0355
sll1732,1,ssl2982,0.521043851069498,0.188250020579518,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in low CO2-inducible, high affinity CO2 uptake)",Photosynthesis and respiration,Photosynth,sll1732
sll0108,1,ssl2982,0.626732693825681,1.25665213560442e-10,NA,ammonium/methylammonium permease,Transport and binding proteins,Transport,sll0108
slr2007,1,ssl2982,0.6593092002596,0.238984413184806,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,slr2007
sll0834,1,ssl2982,0.714000632013079,0.049508605437827,NA,low affinity sulfate transporter,Transport and binding proteins,Transport,sll0834
slr1051,1,ssl2982,0.719794856812963,1.78709726539e-4,NA,enoyl-[acyl-carrier-protein] reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,fabI envM slr1051
sll0689,1,ssl2982,0.71990092377596,0.006032902708067,NA,Na+/H+ antiporter,Transport and binding proteins,Transport,nhaS3 sll0689
sll0529,1,ssl2982,0.824324298608195,8.02944063651502e-5,Pentose phosphate pathway,"putative phospho-ketolase, transketolase",Energy metabolism,Energy,sll0529
slr0093,1,ssl2982,0.857885501775447,0.001359651563903,Chaperones,"DnaJ protein, heat shock protein 40, molecular chaperone",Cellular processes,CellProc,slr0093
sll1316,1,ssl2982,0.884329904454048,9.63823797594998e-9,Cytochrome b6/f complex,cytochrome b6-f complex iron-sulfur subunit (Rieske iron sulfur protein),Photosynthesis and respiration,Photosynth,petC2 sll1316
ssr1853,1,ssl2982,0.916566029461388,0.005016622288107,NA,unknown protein,Unknown,Unknown,ssr1853
slr2034,1,ssl2982,0.956002739487974,1.63787418835936e-6,Photosystem II,"putative homolog of plant HCF136, which is essential for stability or assembly of photosystem II",Photosynthesis and respiration,Photosynth,slr2034
slr1531,1,ssl2982,0.958211444282671,8.07676127747581e-8,Protein and peptide secretion,signal recognition particle protein,Cellular processes,CellProc,ffh slr1531
sll0141,1,ssl2982,0.975877896825741,0.071612753403199,NA,hypothetical protein,Hypothetical,Hypoth,sll0141
slr0838,1,ssl2982,0.986039956822874,1.31996231968e-4,Purine ribonucleotide biosynthesis,phosphoribosyl formylglycinamidine cyclo-ligase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,purM slr0838
sll0493,1,ssl2982,0.988662934660721,0.00300403871883,NA,hypothetical protein,Hypothetical,Hypoth,sll0493
sll0759,1,ssl2982,1.00147290471304,3.86410491123e-4,NA,ABC transporter ATP-binding protein,Transport and binding proteins,Transport,sll0759
sll1450,1,ssl2982,1.00423881988393,0.002686211824176,NA,nitrate/nitrite transport system substrate-binding protein,Transport and binding proteins,Transport,nrtA sll1450
slr0320,1,ssl2982,1.00551270056607,7.62748739442077e-5,NA,hypothetical protein,Hypothetical,Hypoth,slr0320
sll1561,1,ssl2982,1.01165725561619,3.13890806665073e-11,Amino acids and amines,proline oxidase,Energy metabolism,Energy,sll1561
slr0193,1,ssl2982,1.01167532512703,1.11618625529321e-6,Nucleoproteins,RNA-binding protein,Translation,Translat,slr0193
slr0529,1,ssl2982,1.01237086433041,6.15535171552818e-9,NA,glucosylglycerol transport system substrate-binding protein,Transport and binding proteins,Transport,slr0529
slr1993,1,ssl2982,1.01241467388953,3.02864516449218e-10,NA,PHA-specific beta-ketothiolase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,slr1993
slr1208,1,ssl2982,1.01269401607426,2.8686078328976e-8,Other,probable oxidoreductase,Other categories,Other,slr1208
sll1267,1,ssl2982,1.01369927266246,2.02690374767016e-17,NA,unknown protein,Unknown,Unknown,sll1267
sll1119,1,ssl2982,1.0145171342141,4.51654578744e-4,NA,hypothetical protein,Hypothetical,Hypoth,sll1119
ssl7039,1,ssl2982,1.02054695801193,7.0695497534731e-7,NA,hypothetical protein,Hypothetical,Hypoth,ssl7039
sll0157,1,ssl2982,1.02108400787603,0.001094714827685,NA,hypothetical protein,Hypothetical,Hypoth,sll0157
slr0841,1,ssl2982,1.02192156039178,4.71888049589091e-10,NA,"periplasmic protein, function unknown",Unknown,Unknown,slr0841
sll1915,1,ssl2982,1.02289808531095,1.48200756717369e-9,Drug and analog sensitivity,"putative glyoxalase, antibiotic resistance, or dioxygenase protein",Other categories,Other,sll1915
sll0616,1,ssl2982,1.02361935361268,3.92542970698426e-8,Protein and peptide secretion,preprotein translocase SecA subunit,Cellular processes,CellProc,secA sll0616
sll1390,1,ssl2982,1.02880572315676,1.59481349914303e-13,NA,hypothetical protein,Hypothetical,Hypoth,sll1390
slr1884,1,ssl2982,1.02940445231282,1.06835596629e-4,Aminoacyl tRNA synthetases and tRNA modification,tryptophanyl-tRNA synthetase,Translation,Translat,trpS slr1884
slr0228,1,ssl2982,1.03110424805575,5.66256476108758e-10,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH2 slr0228
sll0426,1,ssl2982,1.04033161886957,8.53796447467547e-6,NA,unknown protein,Unknown,Unknown,sll0426
sll0761,1,ssl2982,1.04308584070967,1.31305844349283e-8,NA,unknown protein,Unknown,Unknown,sll0761
slr1105,1,ssl2982,1.04386847759306,1.83314065630967e-5,Protein modification and translation factors,GTP-binding protein TypA/BipA homolog,Translation,Translat,typA slr1105
slr2070,1,ssl2982,1.04530468224427,2.43944898873408e-8,NA,hypothetical protein,Hypothetical,Hypoth,slr2070
sll0550,1,ssl2982,1.0465076905821,1.930229523943e-9,Other,flavoprotein,Other categories,Other,dfa1 sll0550
slr1137,1,ssl2982,1.0567256455003,2.39585301189766e-14,Respiratory terminal oxidases,cytochrome c oxidase subunit I,Photosynthesis and respiration,Photosynth,ctaD slr1137
slr0455,1,ssl2982,1.06200404207589,1.09572311715909e-6,NA,hypothetical protein,Hypothetical,Hypoth,slr0455
