,reaction_id,reaction_name,reaction_reaction,genes,EC_number,groups,kegg_reaction,metanetx_reaction,seed_reaction
394,FBMO6,Flavin-binding monooxygenase,3cresol_c + h_c + nadh_c + o2_c --> h2o_c + hbzal_c + nad_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Toluene and Xylene degradation,,,
395,PNTOK2,Pantothenate kinase,atp_c + pantcys_c --> 4ppcys_c + adp_c + h_c,H16_A0136,,Pantothenate and CoA biosynthesis,,,
396,FBMO5,Flavin-binding monooxygenase,h_c + idlac_c + nadph_c + o2_c --> 6hidlac_c + h2o_c + nadp_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Tryptophan metabolism,,,
397,PNTOK3,Pantothenate kinase,atp_c + ptth_c --> adp_c + h_c + pan4p_c,H16_A0136,,Pantothenate and CoA biosynthesis,,,
398,HDCAt2,Hexadecanoate transport via proton symport,c160_e + h_e --> c160_c + h_c,,,"Transport, Extracellular",,MNXR100583,rxn10162
399,FBMO3,Flavin-binding monooxygenase,h_c + nadph_c + o2_c + z4hphea_c --> 4hmdn_c + 2.0 h2o_c + nadp_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Tyrosine metabolism,,,
400,DSERt2,D-serine transport via proton symport,h_e + ser__D_e <=> h_c + ser__D_c,,,"Transport, Extracellular",,MNXR97798,"['rxn05649', 'rxn08372']"
401,FBMO9,Flavin-binding monooxygenase,h_c + hqn_c + nadph_c + o2_c --> h2o_c + nadp_c + thbn_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,gamma-Hexachlorocyclohexane degradation,,,
402,FBMO8,Flavin-binding monooxygenase,4nph_c + nadph_c + o2_c --> h2o_c + nadp_c + no2_c + pbzq_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,gamma-Hexachlorocyclohexane degradation,,,
403,DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c --> co2_c + lys__L_c,H16_A3443,4.1.1.20,Lysine Biosynthesis,R00451,MNXR97141,rxn00313
404,FBMO7,Flavin-binding monooxygenase,2.0 h2_c + o2_c + 2.0 tol4sul_c --> 2.0 cresol_c + 2.0 so3_c,"H16_B2135, H16_B0495, H16_B1480, H16_A1145",,Toluene and Xylene degradation,,,
405,UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c + utp_c --> ppi_c + uacgam_c,H16_A0262,2.7.7.23,Aminosugars metabolism,,MNXR105033,rxn00293
406,NO2t2r,"Nitrite transport in via proton symport, reversible",h_e + no2_e <=> h_c + no2_c,,,"Transport, Extracellular",,MNXR101984,"['rxn05625', 'rxn08998']"
407,METabc,L-methionine transport via ABC system,atp_c + h2o_c + met__L_e --> adp_c + h_c + met__L_c + pi_c,,,"Transport, Extracellular",,MNXR101489,"['rxn05219', 'rxn08909', 'rxn11151']"
408,CDPGD,"CDP-glucose 4,6-dehydratase",cdpglc_c --> cdp4dh6doglc_c + h2o_c,H16_A2896,,Starch and sucrose metabolism,,MNXR96554,
409,TOLabc,Toluene transport,atp_c + h2o_c + tol_e <=> adp_c + h_c + pi_c + tol_c,,,"Transport, Extracellular",,,
410,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <=> amob_c + dann_c + h_c,"H16_A0180, H16_B2123",2.6.1.62,Biotin Metabolism,R03231,MNXR95806,rxn02312
411,UPP3MT,Uroporphyrinogen methyltransferase,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscl_c + h_c,"H16_A2919, H16_A2994, H16_B2285",2.1.1.107,Porphyrin and Chlorophyll metabolism,R03194,MNXR105137,rxn02287
412,DAAD,D-Amino acid dehydrogenase,dphe_c + fad_c + h2o_c + h_c --> fadh2_c + nh4_c + phpyr_c,"H16_A0857, H16_A1505, H16_B2189, H16_A0817, H16_B0508, H16_A0770, H16_A0841, H16_B1893",1.4.99.1,Phenylalanine metabolism,,MNXR97073,rxn08291
413,PRGCS,Phosphoribosylglycin amide synthase,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,H16_A0915,,Purine metabolism,,,
414,MNLpts,Mannitol transport via PEP:Pyr PTS,mnl_e + pep_c --> h_c + mnl1p_c + pyr_c,,,"Transport, Extracellular",,MNXR101677,"['rxn05617', 'rxn08949', 'rxn13934', 'rxn13944']"
415,SERt4,L-serine via sodium symport,na1_e + ser__L_e --> na1_c + ser__L_c,,,"Transport, Extracellular",,MNXR104346,"['rxn09247', 'rxn10185']"
416,OCOAT1m,3-oxoacid CoA-transferase,acac_c + succoa_c <=> aacoa_c + succ_c,"H16_A1331, H16_A1332",2.8.3.5,Butanoate metabolism,R00410,MNXR102148,rxn00290
417,UPPRT,Uracil phosphoribosyltransferase,prpp_c + ura_c --> h_c + ppi_c + ump_c,"H16_A2914, H16_A0918, H16_B1595",2.4.2.9,Pyrimidine metabolism,R00966,MNXR105142,rxn00711
418,LDHm,D-lactate dehydrogenase,lac__D_c + q8_c --> pyr_c + q8h2_c,H16_A3091,1.1.1.28,Oxidative Phosphorylation,R00704,MNXR101037,rxn00500
419,GAMpts,D-glucosamine transport via PEP:Pyr PTS,gam_e + pep_c --> gam6p_c + h_c + pyr_c,,,"Transport, Extracellular",,MNXR100034,"['rxn05569', 'rxn08592']"
420,PPCK,Phosphoenolpyruvate carboxykinase,atp_c + h_c + oaa_c --> adp_c + co2_c + pep_c,H16_A3711,4.1.1.49,Anaplerotic Reactions,R00341,MNXR103099,rxn00247
421,ASPAM1,Aspartate aminotransferase,glu__L_c + mercppyr_c --> akg_c + cys__L_c,H16_A2857,,Cysteine Metabolism,,,
422,BZACCOAT,Benzoyl acetyl-CoA thiolase,bzaccoa_c + coa_c --> accoa_c + benzcoa_c,"H16_B1190, H16_B0388, H16_A1239, H16_A1562, H16_B0724, H16_B1652, H16_A0282, H16_B1657, H16_A1888, H16_A0602, H16_A1102, H16_B1750",,Ethylbenzene degradation,,,
423,ASPAM2,Aspartate aminotransferase,3sala_c + akg_c + h_c --> 3sfpyr_c + glu__L_c,H16_A2857,,Cysteine Metabolism,,,
424,ASPAM3,Aspartate aminotransferase,Lcyst_c + akg_c --> 3spyr_c + glu__L_c,H16_A2857,,Cysteine Metabolism,,,
425,ASPAM4,Aspartate aminotransferase,akg_c + e4hglu_c --> glu__L_c + hydroxyakg_c,H16_A2857,,Arginine and Proline metabolism,,,
426,AAATT,Arylamine N-acetyltransferase,24danit_c + accoa_c --> 4aanit_c + coa_c,H16_B1241,,Trinitrotoluene degradation,,,
427,ASPt2_3,L-asparate transport via proton symport (3 H),asp__L_e + 3.0 h_e --> asp__L_c + 3.0 h_c,,,"Transport, Extracellular",,MNXR96105,rxn10155
428,MALTPTabc,Maltopentaose transport via ABC system,atp_c + h2o_c + maltpt_e --> adp_c + h_c + maltpt_c + pi_c,,,"Transport, Extracellular",,MNXR101355,"['rxn08871', 'rxn10172']"
429,ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,"H16_B2452, H16_B0735, H16_A1035, H16_A2231, H16_A1036, H16_B0313",2.2.1.6,"Valine, Leucine, and Isoleucine Metabolism",R08648,MNXR95260,
430,ASPt2_2,Aspartate transport via proton symport (2 H),asp__L_e + 2.0 h_e --> asp__L_c + 2.0 h_c,,,"Transport, Extracellular",,MNXR96104,"['rxn08169', 'rxn10151']"
431,CHORS,Chorismate synthase,3psme_c --> chor_c + pi_c,H16_A1317,4.2.3.5,"Phenylalanine, Tyrosine and Tryptophan biosynthesis",R01714,MNXR96709,rxn01255
432,CHORM,Chorismate mutase,chor_c --> pphn_c,H16_A0792,5.4.99.5,"Phenylalanine, Tyrosine and Tryptophan biosynthesis",R01715,MNXR96708,rxn01256
433,AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),2aobut_c + h_c --> aact_c + co2_c,,1.1.1.381,"Glycine, Serine and threonine Metabolism",R03758,MNXR95851,rxn02666
434,CCPPMD,N-cyclopropylmelamine deaminase,cyromz_c + h2o_c + h_c --> ccpam_c + nh4_c,H16_B0862,,Atrazine degradation,,,
435,14HPED,1-(4'-hydroxyphenyl)ethanol dehydrogenase,14hpeth_c + nad_c --> 4hactph_c + h_c + nadh_c,"H16_B0831, H16_A1828, H16_B1417, H16_A2586, H16_A0893, H16_A2460, H16_B2561, H16_A1256, H16_B0034, H16_B0572, H16_B0663, H16_A0679",,Bisphenol A degradation,,,
436,DHQND,3-dehydroquinate dehydratase,3dhq_c --> 3dhsk_c + h2o_c,"H16_A3170, H16_B0465",,"Phenylalanine, Tyrosine and Tryptophan biosynthesis",,,
437,IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,H16_A2030,1.1.1.205,Purine metabolism,R01130,MNXR100830,rxn00834
438,Biomass,,0.055 CARBO_c + 0.03 CAV_c + 0.031 DNA_c + 0.034 LPS_c + 0.06 PEPTIDO_c + 0.0495 PHOSPHOLIPID_c + 0.68 PROTEIN_c + 0.06 RNA_c + 15.3 atp_c --> BIOMASS_c + 15.3 adp_c + 15.3 pi_c,,,,,,
439,SUCOAS,Succinyl-CoA synthetase (ADPforming),atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,"H16_A0547, H16_A0548",6.2.1.5,Citric Acid Cycle,R00405,MNXR104635,rxn00285
440,PPAt,Propionate transport,h_e + ppa_e --> h_c + ppa_c,,,"Transport, Extracellular",,,
441,IMP,Myo-inositol 1-phosphatase,dmi1p_c + h2o_c --> mi_c + pi_c,H16_A1214,,Inositol Phosphate Metabolism,,MNXR100828,
442,ACPYRH,Acylpyruvate hydrolase,fumpyr_c + h2o_c --> fum_c + h_c + pyr_c,"H16_B0874, H16_B0428",,Tyrosine metabolism,,,
443,BUPN,Beta-ureidopropionase,3uib_c + h2o_c + 2.0 h_c --> 3aibt_c + co2_c + nh4_c,H16_A1475,3.5.1.6,Pyrimidine metabolism,R00905,MNXR96347,rxn00654
444,BUDPP1,Beta-ureidopropionase,3urdpp_c + h2o_c + 2.0 h_c --> ala_B_c + co2_c + nh4_c,H16_A1475,,Pyrimidine metabolism,,,
445,ALRTg,Aldehyde reductase,gal_c + 2.0 h2o_c + nad_c <=> galt_c + h_c + nadh_c + o2_c,H16_A3186,,Galactose metabolism,,,
446,SSALy,Succinate-semialdehyde dehydrogenase (NADP),h2o_c + nadp_c + sucsal_c <=> 2.0 h_c + nadph_c + succ_c,"H16_B0982, H16_B1537, H16_B1179, H16_B2057","['1.2.1.16', '1.2.1.79']",Alanine and Aspartate Metabolism,R00714,MNXR104541,rxn00509
447,GART,GAR transformylase-T,atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c,,"['2.1.2', '2.1.2.-']",Purine and Pyrimidine Biosynthesis,R06974,MNXR100042,rxn04783
448,CRNabc,L-Carnitine transport,atp_c + crn_e + h2o_c <=> adp_c + crn_c + h_c + pi_c,,,"Transport, Extracellular",,MNXR96905,"['rxn05180', 'rxn08253']"
449,CCPPCCOAL,Cyclopropanecarboxylate:CoA ligase,atp_c + ccppc_c + coa_c --> adp_c + ccppccoa_c + pi_c,"H16_B0910, H16_A2978, H16_B1148, H16_B1335, H16_B1662, H16_B1709, H16_B0677, H16_B1264, H16_B0174, H16_A2252, H16_A1519, H16_A1718, H16_A1700, H16_B2522, H16_A0866, H16_A2794, H16_A2807, H16_A1230, H16_A0871",,Benzoate degradation via CoA ligation,,,
450,CCPAMAH,N-cyclopropylammelide alkylamino hydrolase,ccpamd_c + h2o_c + h_c --> ccppam_c + cyanr_c,H16_B0862,,Atrazine degradation,,,
451,NAPMSCD,Naphthyl-2-methylsuccinyl-CoA dehydrogenase,napmsccoa_c --> h2_c + nap2msuccoa_c,"H16_B0675, H16_B0699, H16_A2149, H16_A2808, H16_A2143",,1- and 2-Methylnaphthalene degradation,,,
452,BTCAL,Butyrate-CoA ligase/short-chain acyl-CoA synthetase,atp_c + butn_c + coa_c --> amp_c + btcoa_c + ppi_c,,,Butanoate metabolism,,,
453,GACT_h,Glutamate N-acetyltransferase,acorn_c + glu__L_c <=> acglu_c + orn_c,H16_A3263,,Urea Cycle and Metabolism of amino groups,,,
454,ALRTa,Aldehyde reductase,arbt_c + nad_c <=> arab__L_c + h_c + nadh_c,H16_A3186,,Pentose and glucuronate interconversion,,,
455,XANt2,Xanthine transport in via proton symport,h_e + xan_e --> h_c + xan_c,,,Putative Transporters,,MNXR105227,"['rxn05202', 'rxn09377']"
456,XANt,Xanthine reversible transport,xan_e <=> xan_c,,,"Transport, Extracellular",,MNXR105226,"['rxn09378', 'rxn09379', 'rxn09652']"
457,BZFORCL1,Benzoylformate carboxy-lyase,aobzac_c + h_c --> bzal_c + co2_c,H16_A1113,,Toluene and Xylene degradation,,,
458,KYN,Kynureninase,h2o_c + kn_c --> ala__L_c + anth_c + h_c,H16_A2815,3.7.1.3,Tryptophan metabolism,R00987,MNXR100946,rxn00728
459,BZFORCL2,Benzoylformate carboxy-lyase,4hbald_c + co2_c --> 4hpheglyx_c + h_c,H16_A1113,,Benzoate degradation via Hydroxylation,,,
460,KYNRN1,Kynureninase,forkn_c + h2o_c --> ala__L_c + forant_c + h_c,H16_A2815,,Tryptophan metabolism,,,
461,ALRTx,Aldehyde reductase,nadp_c + xylt_c <=> h_c + nadph_c + xyl__D_c,H16_A3186,,Pentose and glucuronate interconversion,,,
462,ALRTs,Aldehyde reductase,nadp_c + sbt__D_c <=> glc__D_c + h_c + nadph_c,H16_A3186,,Fructose and Mannose metabolism,,,
463,MG2t,Magnesium transport,mg2_e <=> mg2_c,,,"Transport, Extracellular",,,
464,KYNRN3,Kynureninase,h2o_c + hlk_c --> 3han_c + ala__L_c + h_c,H16_A2815,,Tryptophan metabolism,,,
465,4NPHPP,4-Nitrophenylphosphate phosphatase,4nphp_c + h2o_c --> 4nph_c + pi_c,"H16_A2182, H16_A2183, H16_B1238",,gamma-Hexachlorocyclohexane degradation,,,
466,ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + h_c + ppi_c,"H16_B0591, H16_B0386, H16_A2525, H16_B1102, H16_A1616, H16_B0834, H16_B0696",6.2.1.1,Pyruvate Metabolism,R00235,MNXR95413,rxn00175
467,FUM,Fumarase,fum_c + h2o_c <=> mal__L_c,"H16_A2528, H16_B0103",4.2.1.2,Citric Acid Cycle,R01082,MNXR99705,rxn00799
468,GERCT,Geranic acid CoAtransferase,coa_c + gerana_c + h_c --> h2o_c + tgercoa_c,"H16_B0655, H16_B0656, H16_B0914, H16_B0355, H16_B0367, H16_B0488, H16_B0847",,Geraniol degrdation,,,
469,NADHDH,NADH dehydrogenase,3.0 h_c + nadh_c + q8_c --> 2.0 h_e + nad_c + q8h2_c,"H16_A1059, H16_A1053, H16_A1060, H16_A1058, H16_A1063, H16_A1055, H16_A1057, H16_A1056, H16_A1050, H16_A1062, H16_A1051, H16_A1052, H16_A1054, H16_A1061, H16_A0251",,Ubiquinone,,MNXR143256,
470,PROTCD,"Protocatechuate 3,4-dioxygenase",34dhbz_c + 2.0 h_c + nadh_c + o2_c --> co2_c + h2o_c + nad_c + thbn_c,"H16_B1109, H16_B1836, H16_A0633, H16_B0223, H16_B1420, H16_B0757",,Benzoate degradation via Hydroxylation,,,
471,PPNCL,Phosphopantothenate-cysteine ligase,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + 2.0 h_c + ppi_c,H16_A3048,6.3.2.5,Pantothenate and CoA biosynthesis,,MNXR103118,rxn10003
472,TRPTRS,Tryptophanyl-tRNA synthetase,atp_c + trnatrp_c + trp__L_c --> amp_c + h_c + ppi_c + trptrna_c,H16_A0515,6.1.1.2,Aminoacyl-tRNA Biosynthesis,R03664,MNXR104948,rxn06448
473,G1SAT,Glutamate-1-semialdehyde aminotransferase,glu1sa_c <=> 5aop_c,H16_A0734,5.4.3.8,Porphyrin and Chlorophyll metabolism,R02272,MNXR99850,rxn01629
474,PROD2,Proline dehydrogenase,fad_c + pro__L_c --> 1pyr5c_c + fadh2_c,H16_A3631,"['1.5.-.-', '1.5.99.8']",Arginine and Proline Metabolism,R10507,MNXR103187,rxn09188
475,ADNt2,Adenosine transport in via proton symport,adn_e + h_e --> adn_c + h_c,,,"Transport, Extracellular",,MNXR95461,"['rxn05318', 'rxn08068']"
476,ASP1DC,Aspartate 1-decarboxylase,asp__L_c + h_c --> ala_B_c + co2_c,H16_A3129,"['4.1.1.11', '4.1.1.15']",Alanine and Aspartate Metabolism,R00489,MNXR96077,rxn00346
477,MNAO10,Monoamine oxidase,5hxkynam_c + o2_c --> 46dhoxquin_c + h2o2_c + nh4_c,H16_A0831,,Tryptophan metabolism,,,
478,ADCOBNSYN,Adenosylcobyric acid synthase,acda_c + 4.0 atp_c + 4.0 gln__L_c + 4.0 h2o_c --> acha_c + 4.0 adp_c + 4.0 glu__L_c + 3.0 h_c + 4.0 pi_c,H16_A2961,,Porphyrin and Chlorophyll metabolism,,MNXR95437,
479,MNAO13,Monoamine oxidase,aptrc_c + h2o_c + o2_c --> h2o2_c + n4aab_c + nh4_c,H16_A0831,,Urea Cycle and Metabolism of amino groups,,,
480,MNAO14,Monoamine oxidase,3hxkynam_c + o2_c --> 48dhoxquin_c + h2o2_c + nh4_c,H16_A0831,,Tryptophan metabolism,,,
481,CLt,Chloride transport,cl_e <=> cl_c,,,"Transport, Extracellular",,,
482,MNAO11,Monoamine oxidase,aeioh_c + h2o_c + o2_c --> 5hoxindact_c + h2o2_c + nh4_c,H16_A0831,,Tryptophan metabolism,,,
483,MNAO12,Monoamine oxidase,h2o_c + o2_c + tyrpm_c --> h2o2_c + i3aa_c + nh4_c,H16_A0831,,Tryptophan metabolism,,,
484,CYSTRS,Cysteinyl-tRNA synthetase,atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + h_c + ppi_c,H16_A1221,"['6.1.1.15', '6.1.1.16']",Aminoacyl-tRNA Biosynthesis,R03650,MNXR97018,rxn06435
485,L_LACD2,L-Lactate dehydrogenase (ubiquinone),lac__L_c + q8_c --> pyr_c + q8h2_c,"H16_B0460, H16_B1817",1.1.2.3,Oxidative Phosphorylation,,MNXR101273,rxn08792
486,UAGAAT,UDP-N-acetylglucosamine acyltransferase,3hmrsACP_c + uacgam_c <=> ACP_c + u3aga_c,H16_A2043,2.3.1.129,Lipopolysaccharide Biosynthesis,R04567,MNXR105028,rxn06729
487,PHE2MO1,Phenol 2-monooxygenase,h_c + nadph_c + o2_c + tol_c --> h2o_c + nadp_c + ocresol_c,"H16_B0539, H16_B0543, H16_B0542, H16_B0544, H16_B0541, H16_B0540",,Toluene and Xylene degradation,,,
488,GLUCD1,Glutaryl-CoA dehydrogenase,gcoa_c + nad_c --> b2coa_c + co2_c + nadh_c,H16_A2818,,Lysine degradation,,,
489,GLUCD2,Glutaryl-CoA dehydrogenase,fad_c + gcoa_c + h_c --> fadh2_c + gl1coa_c,H16_A2818,,Benzoate degradation via CoA ligation,,,
490,MCITS,2-methylcitrate synthase,h2o_c + oaa_c + ppcoa_c <=> 2mcit_c + coa_c + h_c,"H16_A2636, H16_A1906",2.3.3.5,Propanoate metabolism,R00931,MNXR101417,rxn00679
491,PHE2MO3,Phenol 2-monooxygenase,3cresol_c + h_c + nadph_c + o2_c --> dhtolen_c + h2o_c + nadp_c,"H16_B0539, H16_B0543, H16_B0542, H16_B0544, H16_B0541, H16_B0540",,Toluene and Xylene degradation,,,
492,PHE2MO2,Phenol 2-monooxygenase,h_c + nadph_c + o2_c + ocresol_c --> dhtolen_c + h2o_c + nadp_c,"H16_B0539, H16_B0543, H16_B0542, H16_B0544, H16_B0541, H16_B0540",,Toluene and Xylene degradation,,,
493,PPG2DG,Phosphogluconate 2-dehydrogenase,6pgc_c + nad_c --> 2dhglcn6p_c + h_c + nadh_c,H16_B1813,,Pentose Phosphate Pathway,,,
494,CPPPGO,Coproporphyrinogen oxidase (O2 required),cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,H16_A0914,1.3.3.3,Porphyrin and Chlorophyll metabolism,R03220,MNXR96880,rxn02303
495,NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c <=> adp_c + gtp_c,H16_A2368,2.7.4.6,Purine metabolism,R00330,MNXR96119,rxn00237
496,NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c <=> adp_c + utp_c,H16_A2368,2.7.4.6,Pyrimidine metabolism,R00156,MNXR101935,rxn00117
497,NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),atp_c + dgdp_c <=> adp_c + dgtp_c,H16_A2368,2.7.4.6,Purine metabolism,R01857,MNXR96118,rxn01353
498,4CRESOLt,4-Cresol transport,cresol_e + h_e --> cresol_c + h_c,,,"Transport, Extracellular",,,
499,NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c <=> adp_c + dutp_c,H16_A2368,2.7.4.6,Pyrimidine metabolism,R02331,MNXR101938,rxn01678
500,NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),atp_c + cdp_c <=> adp_c + ctp_c,H16_A2368,2.7.4.6,Pyrimidine metabolism,R00570,MNXR101936,rxn00409
501,TTDCAt2,Tetradecanoate transport via proton symport,h_e + tetdecacid_e --> h_c + tetdecacid_c,,,"Transport, Extracellular",,MNXR104971,
502,NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),atp_c + dtdp_c <=> adp_c + dttp_c,H16_A2368,2.7.4.6,Pyrimidine metabolism,R02093,MNXR101937,rxn01512
503,NUDPK9,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + didp_c <=> adp_c + ditp_c,H16_A2368,,Purine metabolism,,,
504,ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,H16_A2857,2.6.1.1,Alanine and Aspartate Metabolism,R00355,MNXR96079,rxn00260
505,NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),atp_c + dcdp_c <=> adp_c + dctp_c,H16_A2368,2.7.4.6,Pyrimidine metabolism,R02326,MNXR101939,rxn01673
506,NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),atp_c + dadp_c <=> adp_c + datp_c,H16_A2368,2.7.4.6,Purine metabolism,R01137,MNXR101940,rxn00839
507,GLU5K,Glutamate 5-kinase,atp_c + glu__L_c --> adp_c + glu5p_c,H16_A3249,2.7.2.11,Urea Cycle and Metabolism of amino groups,R00239,MNXR100277,rxn00179
508,ALPHNH,Allophanate hydrolase,h2o_c + 3.0 h_c + u1car_c --> 2.0 co2_c + 2.0 nh4_c,"H16_A0125, H16_A0124, H16_B1758",3.5.1.54,Urea Cycle and Metabolism of amino groups,R00005,MNXR95786,rxn00002
509,GLNabc,L-glutamine transport via ABC system,atp_c + gln__L_e + h2o_c --> adp_c + gln__L_c + h_c + pi_c,"H16_A2756, H16_A0475, H16_B1478, H16_B1810, H16_A0045, H16_A3308",3.6.3.21,"Transport, Extracellular",,MNXR100258,"['rxn05155', 'rxn05196', 'rxn08624', 'rxn11101', 'rxn11233']"
510,SEROAT,Serine Oacetyltransferase,accoa_c + ser__L_c <=> acser_c + coa_c,H16_A1216,,Cysteine Metabolism,,,
511,ORNCD,Ornithine cyclodeaminase,orn_c --> nh4_c + pro__L_c,"H16_A1394, H16_A0689, H16_B1881, H16_A3673",4.3.1.12,Arginine and Proline Metabolism,R00671,MNXR102218,rxn00471
512,NPHS,Naphthoate synthase,sbzcoa_c --> coa_c + dhna_c,H16_B1695,4.1.3.36,Ubiquinone Biosynthesis,R04150,MNXR102012,rxn02898
513,Phospholipid,R_Phospholipid,0.093 clpn_c + 0.927 pe_cho_c + 0.283 pg_c --> PHOSPHOLIPID_c,,,,,,
514,GLYCTO1p,(S)-2-hydroxy-acid oxidase,glycolate_c + o2_c --> glx_c + h2o2_c,"H16_A1307, H16_A3094, H16_A3096, H16_A1387, H16_A3097",1.1.3.15,Glyoxylate and Dicarboxylate metabolism,R00475,MNXR100338,rxn00333
515,SDPDS,Succinyl-diaminopimelate desuccinylase,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,H16_A2069,3.5.1.18,Lysine Biosynthesis,R02734,MNXR104300,rxn01973
516,FUCt,L-fucose transport via proton symport,fuc__L_e + h_e <=> fuc__L_c + h_c,,,"Transport, Extracellular",,MNXR99703,
517,VALTRS,Valyl-tRNA synthetase,atp_c + trnaval_c + val__L_c --> amp_c + h_c + ppi_c + valtrna_c,H16_A2751,6.1.1.9,Aminoacyl-tRNA Biosynthesis,R03665,MNXR105186,rxn06449
518,SERDHT2,L-serine dehydratase,ser__L_c --> 2aa_c + h2o_c,H16_A3622,,Cysteine Metabolism,,,
519,UBQBM,Ubiquinone biosynthesis monooxygenase Coq7,hpmmbq_c + nadph_c + o2_c --> h2o_c + hpmhmbq_c + nadp_c,H16_A3283,,Ubiquinone Biosynthesis,,,
520,RNA,RNA biosynthesis,0.631 atp_c + 0.998 ctp_c + 0.75 gtp_c + 0.747 utp_c --> RNA_c + 1.25 adp_c + 1.25 pi_c,,,,,,
521,PPCDC,Phosphopantothenoylcysteine decarboxylase,4ppcys_c + h_c --> co2_c + pan4p_c,H16_A3048,4.1.1.36,Pantothenate and CoA biosynthesis,R03269,MNXR103098,rxn02341
522,PHAS,Polyhydroxyalkanoate synthase,r3hbcoa_c <=> coa_c + phb_c,"H16_A1437, H16_A2003",,Butanoate metabolism,,,
523,SUCD1,Succinate dehydrogenase,fad_c + succ_c --> fadh2_c + fum_c,"H16_A2629, H16_A2631, H16_A2632, H16_B0204, H16_A2630",1.3.5.1,Citric Acid Cycle,R00408,MNXR99636,rxn00288
524,34DHFD,"3,4-dihydroxyfluorene 4,4a-dioxygenase",34dhflu_c + o2_c --> h_c + hodhiybe_c,"H16_B1109, H16_B1836, H16_A0633, H16_B0223, H16_B1420, H16_B0757",,Fluorene degradation,,,
525,SUCDi,Succinate dehydrogenase (irreversible),q8_c + succ_c --> fum_c + q8h2_c,"H16_A2629, H16_A2631, H16_A2632, H16_B0204, H16_A2630",,Oxidative Phosphorylation,,MNXR99641,rxn09272
526,ASCBptspp,L-ascorbate transport via PEP:Pyr PTS (periplasm),ascb__L_e + pep_c --> ascb6p_c + h_c + pyr_c,H16_A0324,,"Transport, Inner Membrane",,MNXR138069,"['rxn08158', 'rxn13758']"
527,SUCD4,Succinate dehydrogenase,fadh2_c + q8_c --> fad_c + h_c + q8h2_c,,,Oxidative Phosphorylation,,MNXR104630,rxn10126
528,CCHCCOAL,Cyclohexanecarboxylate-CoA ligase,atp_c + cchc_c + coa_c --> amp_c + cchccoa_c + h_c + ppi_c,H16_B1693,,Benzoate degradation via CoA ligation,,,
529,Ktr,Potassium reversible transport via proton symport,h_e + k_e <=> h_c + k_c,,,"Transport, Extracellular",,,
530,PYDXO_1,Pyridoxamine:oxygen oxidoreductase (deaminating),h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c,H16_A2802,"['1.4.3', '1.4.3.5']",Vitamine B6 metabolism,R01710,MNXR103367,rxn01251
531,GLUtr,"L-glutamate transport via proton symport, reversible",glu__L_e + h_e <=> glu__L_c + h_c,,,"Transport, Extracellular",,MNXR100301,"['rxn08633', 'rxn09750', 'rxn10917', 'rxn13120', 'rxn13304']"
532,URIt2,Uridine transport in via proton symport,h_e + uri_e --> h_c + uri_c,,,"Transport, Extracellular",,MNXR105166,"['rxn05199', 'rxn09371']"
533,IDONt2r,"L-idonate transport via proton symport, reversible",h_e + idon__L_e <=> h_c + idon__L_c,,3.6.3,"Transport, Extracellular",,MNXR100803,"['rxn08742', 'rxn10167']"
